hugo_symbol	ensembl_gene_id	canonical_transcript
AMICA1	ENSG00000160593	ENST00000356289
AMIGO1	ENSG00000181754	ENST00000369864
AMIGO2	ENSG00000139211	ENST00000266581
AMIGO3	ENSG00000176020	ENST00000320431
AMMECR1	ENSG00000101935	ENST00000262844
AMMECR1L	ENSG00000144233	ENST00000272647
AMN	ENSG00000166126	ENST00000299155
AMN1	ENSG00000151743	ENST00000281471
AMOT	ENSG00000126016	ENST00000371959
AMOTL1	ENSG00000166025	ENST00000433060
AMOTL2	ENSG00000114019	ENST00000514516
AMPD1	ENSG00000116748	ENST00000520113
AMPD2	ENSG00000116337	ENST00000256578
AMPD3	ENSG00000133805	ENST00000396554
AMPH	ENSG00000078053	ENST00000356264
AMT	ENSG00000145020	ENST00000273588
AMTN	ENSG00000187689	ENST00000339336
AMY1A	ENSG00000237763	ENST00000370083
AMY1B	ENSG00000174876	ENST00000330330
AMY1C	ENSG00000187733	ENST00000370079
AMY2B	ENSG00000240038	ENST00000361355
AMZ1	ENSG00000174945	ENST00000312371
AMZ2	ENSG00000196704	ENST00000359904
ANAPC1	ENSG00000153107	ENST00000341068
ANAPC11	ENSG00000141552	ENST00000357385
ANAPC13	ENSG00000129055	ENST00000510994
ANAPC15	ENSG00000110200	ENST00000543587
ANAPC2	ENSG00000176248	ENST00000323927
ANAPC4	ENSG00000053900	ENST00000510092
